accx,accy,accz,gyrx,gyry,gyrz
-0.3345,0.0309,-0.1205,-136.9629,-25.1465,-35.5225
0.6652,-1.3203,-0.5197,-20.3857,-204.7729,-53.2837
1.671,-0.7701,0.2596,116.0278,-111.8164,3.8452
1.7482,0.1627,1.4194,86.4868,34.79,106.2012
1.1329,0.4313,1.1262,-1.3428,165.3442,87.7686
0.2837,0.5933,0.3113,-86.731,149.292,57.7393
-0.1262,0.2623,-0.3112,-136.9019,9.9487,-8.606
0.368,-1.1284,-0.5236,-35.1563,-175.293,-86.4258
1.5865,-1.2561,-0.0178,137.207,-93.2007,-13.9771
1.7517,-0.0308,1.0751,102.1118,1.6479,140.9302
0.958,0.8488,0.7595,-36.438,118.6523,83.9233
0.1659,0.5048,-0.1254,-182.0679,19.9585,28.2593
0.3569,-1.1147,-0.3735,-50.0488,-225.8301,-103.5767
1.3367,-1.1055,0.2471,86.731,-95.9473,27.6489
1.6625,-0.069,1.3738,94.3604,74.4629,103.6377
1.0905,0.4082,1.0785,16.2354,193.1763,102.356
0.3384,0.6276,0.4116,-78.186,150.1465,92.3462
-0.2954,0.4432,-0.2941,-146.1792,36.3159,23.4985
-0.1354,-0.8381,-0.74,-85.6934,-182.7393,-132.4463
1.5146,-1.524,0.3573,156.9824,-142.7612,-41.1987
1.8611,-0.1179,1.4471,108.5815,-27.4658,100.3418
1.4425,0.3663,1.385,66.4063,135.9863,88.8672
0.4767,0.5366,0.2625,-38.5132,180.603,71.9604
-0.0006,0.4105,-0.2772,-114.8071,73.8525,29.541
-0.0632,-0.3628,-0.5817,-146.9727,-144.5923,-59.021
0.922,-1.7357,-0.4257,3.7231,-229.4922,-74.8901
1.7172,-0.746,0.6769,54.5044,-104.248,76.7822
1.579,-0.0243,1.1461,37.8418,49.0112,101.8677
0.907,0.3928,0.7402,-14.0381,139.8315,95.2148
0.215,0.5216,0.1471,-80.6885,91.4307,70.8618
-0.1724,0.1875,-0.3109,-107.8491,-25.4517,-45.5322
0.9264,-1.3989,-0.3778,43.7012,-184.4482,-68.2373
1.9163,-0.6292,0.2957,111.2671,-92.4683,37.2314
1.4531,0.2708,0.776,17.8223,57.8613,73.2422
0.8534,0.4733,0.7637,-37.5366,96.4966,84.5947
0.2509,0.6102,0.3792,-137.5122,55.7861,89.5996
-0.2256,0.1431,-0.1523,-130.0659,-76.416,-27.4048
0.7128,-1.448,-0.2269,53.9551,-213.0737,-143.2495
1.8875,-0.5605,0.8728,70.9229,-72.2046,21.0571
1.6508,0.0642,1.3903,69.3359,44.7388,59.5093
0.9794,0.2151,1.0317,21.4233,122.7417,88.1958
0.3844,0.4845,0.4464,-23.8647,149.353,63.2935
-0.1356,0.4375,-0.0635,-140.7471,60.9131,49.1333
0.0439,-0.6122,-0.4897,-50.5371,-148.3154,-110.2295
1.1752,-1.0416,0.3662,93.2007,-224.5483,-54.6265
1.7579,-0.396,0.7777,79.7119,-84.1675,35.2783
1.5645,0.0414,1.3907,66.2231,89.4165,42.3584
0.8108,0.1362,0.9081,-22.2778,157.2266,87.8296
0.1683,0.5105,0.329,-89.3555,114.6851,79.2236
-0.177,-0.0237,-0.3359,-134.3994,-27.3438,-11.4136
0.8016,-1.0308,-0.0403,27.832,-246.7651,-42.5415
1.7061,-0.6049,0.4941,49.1943,-91.1255,28.1982
1.6715,0.1134,1.1646,51.0254,33.3252,74.0967
1.0958,0.144,0.9365,14.7095,170.8984,56.3354
0.4779,0.4209,0.4706,-58.2275,142.395,67.2607
-0.1576,0.4843,-0.0258,-112.2437,53.3447,26.4282
0.0858,-0.9817,-0.4988,-50.1099,-151.123,-114.624
1.33,-0.8835,0.337,57.6172,-194.3359,-34.2407
1.6815,-0.396,0.7665,55.1758,-75.1343,58.2275
1.4648,0.0624,1.2532,64.209,76.355,50.9644
0.967,0.1307,0.9213,17.395,165.9546,82.7026
0.2738,0.47,0.3729,-78.064,162.5366,100.708
-0.2523,0.3826,-0.1492,-123.9624,24.7192,51.8799
-0.0088,-1.0701,-0.7778,-20.0195,-158.4473,-136.9019
1.2437,-0.6532,0.2909,93.1396,-250.0,-31.9214
1.9369,-0.1813,1.3279,55.9692,-53.1616,31.25
1.2142,0.0663,1.2002,35.2783,89.6606,49.8047
0.7211,0.3486,0.9122,-11.8408,168.1519,40.6494
0.2672,0.4943,0.3669,-100.9521,133.3618,81.2988
-0.0804,0.0222,-0.3405,-136.4136,-19.5923,30.5786
0.6157,-1.209,-0.3292,27.2827,-220.9473,-43.6401
1.5153,-0.6766,0.6798,93.1396,-172.1802,7.4463
1.5032,0.121,1.5789,75.6836,-68.1152,73.0591
1.1991,0.1277,1.5624,31.311,141.5405,56.2744
0.6263,0.3043,0.8989,-59.021,221.1304,95.2759
-0.1223,0.5165,0.1277,-149.7192,116.1499,78.8574
-0.0641,-0.5513,-0.5325,-89.1113,-99.9146,-102.6001
1.1078,-0.9777,0.0131,87.7075,-245.1172,-0.9155
1.5905,-0.2501,0.9185,80.6274,-123.6572,59.5093
1.3446,0.2343,1.6459,99.3652,39.6118,47.6685
0.9724,0.1407,1.2219,15.9912,198.7915,64.9414
0.4281,0.3881,0.4362,-111.6943,190.1245,114.9292
-0.2186,0.3909,-0.1306,-154.9683,62.8662,55.6641
-0.0504,-0.7191,-0.4596,-70.8618,-177.7344,-93.9941
1.1763,-1.0927,0.34,80.7495,-277.2827,-41.5039
1.4674,-0.4794,0.7307,76.5991,-141.4185,32.5317
1.4713,0.2993,1.4872,52.2461,40.8936,60.1807
1.0275,0.3766,1.1929,11.3525,177.4292,44.5557
0.469,0.4198,0.6321,-72.3877,211.4868,64.0869
-0.1635,0.4279,-0.0405,-114.7461,84.2896,40.4663
-0.1003,-0.5538,-0.4561,-40.4053,-152.2827,-118.3472
1.0809,-1.3356,0.1226,97.168,-260.5591,-26.1841
1.6655,-0.0944,1.1218,78.7354,-105.835,88.0127
1.2512,0.2709,1.3112,47.9126,35.7666,77.8809
0.9087,0.2986,1.2036,1.0376,198.6694,36.8042
0.5144,0.3877,0.6324,-99.3652,202.3315,69.2139
-0.0693,0.343,-0.043,-135.2539,73.7915,75.9888
-0.0336,-0.7205,-0.4406,-71.8384,-135.5591,-76.5381
0.9449,-1.0432,0.2614,79.7119,-268.3105,-13.9771
1.8691,-0.6476,1.193,157.5317,-141.1743,-18.0054
1.5665,0.0199,1.6019,85.5103,22.1558,68.0542
0.9768,0.2194,1.1672,22.644,165.8325,86.792
0.5768,0.3047,0.6334,-58.1665,188.7817,65.3076
0.0662,0.2698,-0.0607,-155.7007,96.4355,96.3745
-0.02,-0.0833,-0.2712,-115.1733,-67.3218,-20.6299
0.4091,-1.1797,-0.3801,50.2319,-253.6011,-149.353
1.4063,-0.9465,0.2084,123.5962,-112.1826,-15.4419
1.8309,-0.514,1.2821,149.5972,-11.1694,26.8555
1.2087,-0.093,1.162,35.2783,158.7524,92.1631
0.615,0.2513,0.6488,-66.4063,183.5327,106.3232
0.0564,0.3424,0.0731,-151.3672,97.3511,127.3193
-0.127,-0.1631,-0.4127,-128.0518,-142.9443,-11.5356
0.9563,-1.5293,0.11,69.0918,-257.8735,-137.3901
1.6323,-1.0115,0.4846,152.3437,-130.6152,-26.7334
1.7963,-0.748,1.2484,191.5283,7.5684,15.5029
1.3121,-0.3571,1.0275,154.48,126.0376,63.9648
0.6053,0.187,0.6509,-109.8633,148.0713,171.5698
-0.0933,0.3364,0.1754,-191.8945,46.4478,153.4424
-0.2566,-0.6061,-0.6066,-112.3047,-140.0757,-137.6953
1.2662,-1.5715,0.8798,123.5352,-320.4346,-143.3105
1.5103,-1.1117,0.8282,135.3149,-118.1641,9.0942
1.3033,-0.8732,0.9452,226.8066,19.8364,56.6406
0.983,-0.3387,0.9325,40.4053,109.0698,159.5459
0.6771,-0.1715,0.5267,-17.5171,177.2461,120.9717
0.3062,0.166,0.1969,-59.7534,196.6553,64.5142
-0.0312,0.192,-0.0962,-109.8633,111.145,25.8789
-0.2411,-0.4333,-0.8341,-155.3955,-111.8164,-35.4004
0.649,-2.0005,-0.4355,66.5283,-394.7754,-148.8647
1.6042,-1.4988,0.6089,109.6802,-178.5889,157.1655
1.3774,-0.2849,1.3838,-19.165,105.0415,146.3623
0.4696,0.1797,0.8192,-83.313,219.8486,129.6997
-0.3152,0.2084,-0.042,-139.6484,107.3608,94.7876
-0.2299,-0.224,-0.5668,-173.2178,-118.3472,-22.9492
1.2111,-1.3696,0.8896,30.7007,-362.6099,-127.1362
1.495,-1.4819,0.6853,71.8384,-224.9146,70.1904
1.1603,-0.2596,1.8544,60.3027,-51.2085,142.2729
0.6163,0.2711,1.7681,2.9907,166.3818,125.6714
0.2069,0.3423,0.9181,-65.6738,241.8823,84.2285
-0.1628,0.4128,0.1857,-147.644,129.0283,23.8647
-0.3135,0.3564,-0.3502,-211.4258,-41.9922,-30.3955
0.3682,-1.8235,-0.0962,14.0381,-426.6357,-212.5854
1.2705,-1.5389,1.0422,72.6929,-194.6411,31.311
0.9211,-0.7031,1.9906,86.3647,-65.1855,151.123
0.6011,0.053,2.3654,-2.6245,144.8364,142.0288
0.0044,0.4734,1.0166,-45.4102,268.8599,100.5249
-0.4041,0.4266,0.024,-162.0483,190.0635,22.2168
-0.084,-0.2411,-0.8649,-130.0049,-134.6436,-68.9087
0.7258,-1.3622,0.8993,83.0688,-438.4766,-143.0664
1.1354,-1.2526,1.1793,75.4395,-142.7612,85.8765
0.9572,-0.4164,2.1451,125.4272,16.3574,103.5156
0.4252,0.1028,1.7412,-30.8838,136.9629,145.2637
-0.0699,0.6029,0.6116,-60.1196,217.7734,61.4624
-0.1914,0.4617,0.0293,-166.3818,102.2949,11.4746
0.0424,-0.2006,-0.7555,-123.1689,-134.3384,-97.6563
0.8975,-1.3496,1.1833,106.5674,-432.9224,-117.9199
0.8489,-1.283,1.488,68.3594,-163.5742,85.4492
0.7168,-0.6036,2.104,70.9229,49.4995,138.4277
0.4644,-0.2129,1.813,-43.396,198.9746,149.0479
0.0181,0.4532,0.609,-51.8188,209.4116,82.9468
-0.1312,0.5179,0.1023,-143.3105,100.2808,34.9121
-0.0956,0.0975,-0.7057,-180.9692,-89.6606,-68.9087
0.4098,-1.653,0.8213,67.5049,-472.3511,-171.6309
0.7622,-1.3602,1.5038,21.1792,-155.6396,57.4951
0.3246,-0.9924,1.6705,170.9595,-30.0903,214.3555
0.2655,-0.3469,1.8959,-84.7778,202.8809,171.3257
-0.0292,0.3771,0.8533,-65.1855,284.2407,103.4546
-0.1447,0.4066,0.1998,-130.5542,159.3628,72.3267
-0.0927,0.2843,-0.4364,-180.8472,-16.8457,5.249
0.0551,-1.0929,-0.796,-41.2598,-374.6948,-192.627
1.131,-1.535,2.0834,89.7827,-280.4565,-4.8218
0.1923,-0.9897,2.1003,170.4712,-93.2617,204.1016
0.0165,-0.4133,2.0707,-65.7959,141.0522,207.5806
-0.184,0.1615,1.0289,-25.8179,298.4619,131.5918
-0.2877,0.5239,0.2101,-209.5947,168.2129,90.6982
-0.0985,-0.0668,-0.8069,-235.9009,-23.8647,-102.9053
0.0264,-0.7985,0.0576,-2.2583,-401.7944,-147.9492
0.8158,-1.3435,1.7808,84.1675,-202.5146,-20.6299
0.4279,-1.2701,1.5421,202.2705,-40.5273,179.9316
0.4458,-0.3452,2.2546,-19.8975,131.5918,188.7207
0.1847,-0.0634,1.3739,-69.5801,279.0527,162.2314
-0.0338,0.5505,0.3391,-108.0933,196.9604,100.8911
-0.2452,0.4884,-0.2617,-176.5137,49.1333,33.9966
-0.2185,-0.2776,-0.8752,-135.5591,-232.1777,-129.6997
0.7802,-1.2107,1.1372,127.3804,-334.1064,-106.4453
0.9884,-1.0503,1.583,101.6235,-77.0264,107.2388
0.7325,-0.3774,2.0199,99.7925,45.2271,135.5591
0.5133,0.0082,1.6171,-57.6172,155.8228,136.8408
0.2795,0.2408,0.7729,-79.9561,199.2187,77.2095
-0.0067,0.423,0.1234,-136.9019,103.0273,37.7808
-0.0601,0.0878,-0.4681,-150.5737,-78.0029,-72.3877
0.2825,-1.0922,0.068,14.6484,-364.1968,-169.1284
0.8473,-1.1917,1.3361,38.3911,-181.8848,10.376
0.5835,-0.6439,1.9214,79.2236,-32.1045,113.1592
0.4806,-0.3752,1.8582,31.4331,101.5625,123.7793
0.3562,-0.1968,1.2423,-32.2876,214.8437,118.8965
0.0813,0.4114,0.4805,-86.4868,203.9185,108.7036
-0.2787,0.6285,-0.2175,-175.1709,68.5425,50.415
-0.087,-0.5544,-0.6406,-100.0977,-252.8076,-118.9575
1.1821,-1.5881,1.2506,81.665,-287.6587,-36.1328
0.8748,-0.8295,1.6881,57.251,-59.5093,153.1982
0.5997,-0.1283,1.8358,10.0708,166.4429,144.3481
0.4618,0.1547,1.4247,-108.8257,239.9902,145.5078
-0.0248,0.5588,0.3367,-116.0278,223.938,91.3696
-0.3613,0.6289,-0.2267,-130.0049,49.4995,-1.0376
0.0757,-0.4197,-0.401,-61.9507,-174.8657,-133.5449
1.4548,-0.891,0.3835,57.312,-158.8745,-26.123
1.6619,-0.234,1.0173,64.6362,-82.6416,75.6226
1.3202,0.4897,1.4027,44.1284,18.0054,86.1206
0.86,0.6027,1.106,-20.0806,119.4458,83.0078
0.4121,0.5758,0.4421,-52.2461,155.8228,39.856
0.0264,0.5388,0.0815,-77.5757,98.8159,-3.6621
-0.3528,0.2419,-0.5016,-102.6001,-31.9824,-54.0161
0.6361,-1.1338,-0.0867,26.7334,-262.5122,-146.0571
1.7041,-0.9091,0.9976,53.4668,-121.9482,34.2407
1.3431,-0.212,1.3076,43.6401,-39.856,98.2056
1.1221,0.3276,1.4857,12.6953,96.6797,107.7881
0.657,0.4147,0.8402,-19.104,184.9976,60.0586
0.2109,0.642,0.2804,-65.6738,152.1606,53.7109
-0.1075,0.3304,-0.1324,-99.3042,73.1201,-19.2871
-0.2202,-0.3009,-0.7266,-92.6514,-160.4614,-119.0796
1.0736,-0.9691,0.4199,37.0483,-298.7671,-114.4409
1.5752,-1.0442,0.8738,35.8276,-100.9521,42.5415
1.4211,-0.1821,1.3451,64.0869,13.6719,107.2998
0.9976,0.2661,1.1897,10.498,144.104,101.8066
0.4622,0.5331,0.4713,-26.7334,189.5752,90.21
0.178,0.5034,0.067,-76.1108,118.5303,47.9736
-0.1094,0.2728,-0.3898,-94.6655,8.667,-29.4189
0.2119,-0.5937,-0.4523,-17.7612,-231.6895,-121.0938
1.4319,-1.0531,0.7609,62.3779,-238.9526,-61.8896
1.5836,-0.8477,0.698,60.4248,-54.1382,67.1387
1.4515,0.1533,1.3912,44.9219,55.1758,96.7407
0.9845,0.3103,1.0374,7.4463,149.7192,78.9185
0.4592,0.4746,0.4015,-45.0439,148.9868,74.7681
-0.0453,0.4462,-0.1072,-53.1006,120.9106,60.4248
-0.1447,0.135,-0.6294,-87.7075,-63.9648,-21.5454
0.7311,-0.8086,-0.3495,5.7983,-226.6846,-137.7563
1.6366,-0.7915,0.6365,67.0776,-127.3193,-16.4795
1.5508,0.0972,1.2164,82.0313,-49.2554,97.5952
1.3734,0.1534,1.1705,15.9912,104.4922,74.5239
0.7852,0.3732,0.8113,-28.0762,197.937,68.6035
-0.0253,0.6046,-0.0115,-69.7021,137.3291,72.998
-0.2448,0.3524,-0.2257,-97.229,-20.9961,-31.25
0.4811,-0.6866,-0.384,-31.6162,-173.4009,-77.5146
1.4713,-1.1501,0.412,73.7915,-207.0312,-65.7349
1.6499,-0.5165,0.7167,61.5234,-68.7256,86.1816
1.3617,0.1647,1.0708,60.3638,46.0205,72.0215
1.0245,0.4017,0.9458,3.0518,126.5259,64.27
0.6176,0.3718,0.5199,-36.6211,148.3765,49.0112
0.0903,0.4095,0.0388,-77.2705,83.8013,45.7764
-0.151,0.111,-0.5211,-99.3042,-38.8794,-48.7671
0.5067,-0.875,-0.4854,-9.8877,-212.9517,-88.0127
1.4392,-0.8719,0.4222,45.7153,-151.3672,-8.9111
1.7699,-0.2157,1.1033,40.4053,-17.2119,87.5244
1.4198,0.3188,1.1591,42.3584,98.4497,65.979
0.8385,0.4648,0.7777,-8.2397,150.7568,59.8755
0.2997,0.4402,0.2277,-39.3066,133.1177,40.1611
-0.1846,0.3688,-0.271,-76.5991,58.4106,16.8457
0.2681,-0.3911,-0.3219,-60.6079,-132.8735,-100.0366
1.2152,-0.757,0.3203,28.3813,-218.75,-81.543
1.5824,-0.943,0.3717,64.209,-101.5015,0.6104
1.6293,-0.1824,1.0336,68.6035,-32.4707,83.4351
1.225,0.2993,1.171,25.9399,95.1538,89.9048
0.4937,0.4985,0.7004,-22.3389,159.9731,78.4302
-0.1415,0.6237,0.0621,-83.1299,102.356,40.8325
-0.0735,-0.1667,-0.5045,-83.4351,-44.8608,-90.271
0.6494,-0.7892,-0.3705,7.2021,-202.8809,-105.1636
1.7747,-0.9928,0.5477,58.0444,-134.8877,-20.874
1.6213,-0.1715,1.0811,72.1436,-11.5356,72.3877
1.2079,0.17,1.0199,27.4658,91.7969,87.0972
0.6166,0.3386,0.6228,-6.4697,162.8418,74.8291
0.0698,0.4888,0.0358,-61.2183,123.9014,49.3164
0.011,0.3142,-0.2544,-87.4023,3.0518,-4.6997
0.326,-0.4537,-0.4777,-58.7769,-152.4048,-57.6782
1.4912,-0.9277,0.2609,28.3813,-156.6162,-50.5981
1.7311,-0.67,0.6587,44.4946,-67.3828,45.5322
1.4034,-0.0992,1.0002,84.5337,18.4937,51.2085
1.0881,0.1115,1.0608,16.0522,123.23,106.5063
0.3969,0.4501,0.3918,-48.0957,183.1055,123.1689
0.0101,0.6198,0.0184,-89.9658,76.2329,68.4204
-0.0986,0.1353,-0.4408,-106.0791,-86.1816,-39.3066
0.6572,-0.9587,0.0377,21.0571,-303.9551,-121.9482
1.4058,-1.201,0.5071,87.4023,-176.8799,-75.9277
1.5822,-0.501,1.5531,63.9648,-18.6768,93.6279
1.226,-0.0337,1.4651,28.8696,120.1782,107.0557
0.5686,0.3698,0.7775,-38.6963,198.9746,93.9941
0.0795,0.5454,0.1503,-85.2051,118.7134,49.7437
-0.1514,0.1719,-0.35,-119.2017,-20.5078,-41.1987
0.333,-0.6968,-0.4498,-32.7148,-214.7827,-90.6982
1.5513,-1.0083,0.6604,53.6499,-139.1602,-40.7715
1.7169,-0.755,1.0092,84.1064,-12.9395,97.7783
1.2817,0.0554,1.2455,39.2456,138.916,91.2476
0.6222,0.4077,0.8466,-19.4702,183.2275,114.1968
0.0515,0.4772,0.0763,-70.8618,126.1597,59.3262
-0.3346,0.2174,-0.6473,-89.0503,-33.6914,-21.2402
0.6262,-0.7074,-0.0782,-2.1362,-294.9829,-106.8115
1.606,-1.2032,0.6511,57.0068,-147.2778,-16.2354
1.473,-0.2654,1.3062,97.4121,-6.1035,93.5669
1.0718,-0.0123,1.2479,31.0059,166.9922,74.646
0.2233,0.511,0.5146,-60.4858,216.4917,119.9951
-0.2504,0.5483,-0.0908,-101.5015,58.5938,16.2964
0.0781,-0.3538,-0.4331,-68.4204,-149.5361,-127.1973
1.2665,-1.2782,0.0404,55.2979,-248.1689,-73.5474
1.5747,-0.9481,0.5289,72.4487,-98.2056,43.335
1.4581,-0.0902,1.3864,43.7622,30.4565,95.8252
1.0328,0.1316,1.1738,-24.353,164.7339,104.187
0.214,0.3665,0.3003,-46.3257,193.7256,79.2236
-0.2872,0.348,-0.2097,-115.2954,-4.8218,-11.3525
0.246,-0.5016,-0.5057,-37.1704,-217.5293,-104.248
1.3878,-1.2772,0.2394,57.8003,-183.6548,-66.1011
1.5406,-0.5571,1.1631,88.3789,-111.3281,121.46
1.2933,-0.1221,1.2548,30.2124,115.8447,78.186
0.7582,0.2028,0.8827,-20.5688,206.7261,89.6606
0.1852,0.4382,0.1029,-40.1611,158.0811,67.9321
-0.2014,0.3044,-0.2864,-99.4263,-22.3999,2.6855
0.2833,-1.0615,-0.8888,-54.1382,-270.3857,-168.7012
1.4233,-1.007,0.5201,47.6074,-161.5601,-31.8604
1.4198,-0.5009,1.3687,86.853,-52.6733,120.0562
1.0952,-0.0187,1.3011,14.6484,168.2129,105.4077
0.5403,0.2225,0.6929,-19.165,195.6177,94.4824
-0.161,0.5845,0.0592,-67.3828,121.7651,40.3442
-0.2389,-0.0714,-0.804,-158.02,-83.252,-55.2368
0.8726,-1.0526,0.0299,32.959,-314.6973,-130.0659
1.804,-1.0568,0.8475,77.0874,-109.1309,61.0352
1.4886,-0.2616,1.593,68.9697,71.7773,104.9805
0.7104,0.1089,1.1052,-2.9907,187.0117,128.6011
-0.1188,0.5431,0.1387,-64.0869,164.4897,69.6411
-0.3555,0.275,-0.4762,-169.0063,-37.2925,-10.8643
0.5304,-1.3269,-0.2775,-6.1035,-333.9233,-149.7192
1.3014,-1.5132,0.2405,138.3057,-226.0742,57.0679
1.6332,-0.2539,2.3464,34.1187,10.7422,115.7227
1.0477,-0.24,1.4686,-19.8364,120.0562,161.5601
0.1875,0.4082,0.7437,-92.8955,236.8774,133.0566
